total_bill,tip,sex,smoker,day,time,size,customer_age
$44.3,$2.5,Female,Yes,Sat,Dinner,3,29
$34.63,$3.55,Male,Yes,Sun,Dinner,2,48
$5.75,$1.0,Female,Yes,Fri,Dinner,2,21
$14.83,$3.02,Female,No,Sun,Dinner,2,21
$20.49,$4.06,Male,Yes,Sat,Dinner,2,150
$17.07,$3.0,Female,No,Sat,Dinner,3,65
$18.15,$3.5,Female,Yes,Sun,Dinner,3,34
$17.92,$4.08,Male,No,Sat,Dinner,2,150
$44.3,$2.5,Female,Yes,Sat,Dinner,3,40
$13.42,$1.68,Female,No,Thur,Lunch,2,33
$30.06,$2.0,Male,Yes,Sat,Dinner,3,63
$28.17,$6.5,Female,Yes,Sat,Dinner,3,28
$14.73,$2.2,Female,No,Sat,Dinner,2,62
$13.0,$2.0,Female,Yes,Thur,Lunch,2,42
$18.28,$4.0,Male,No,Thur,Lunch,2,47
$29.93,$5.07,Male,No,Sun,Dinner,4,34
$12.46,$1.5,Male,No,Fri,Dinner,2,21
$22.42,$3.48,Female,Yes,Sat,Dinner,2,49
$13.13,$2.0,Male,No,Sun,Dinner,2,30
$19.08,$1.5,Male,No,Thur,Lunch,2,44
$7.51,$2.0,Male,No,Thur,Lunch,2,58
$34.81,$5.2,Female,No,Sun,Dinner,4,23
$10.34,$1.66,Male,No,Sun,Dinner,3,19
$18.28,$4.0,Male,No,Thur,Lunch,2,45
$10.07,$1.25,Male,No,Sat,Dinner,2,30
$25.0,$3.75,Female,No,Sun,Dinner,4,45
$16.93,$3.07,Female,No,Sat,Dinner,3,31
$22.82,$2.18,Male,No,Thur,Lunch,3,56
$19.81,$4.19,Female,Yes,Thur,Lunch,2,20
$30.46,$2.0,Male,Yes,Sun,Dinner,5,60
$17.92,$4.08,Male,No,Sat,Dinner,2,150
$21.5,$3.5,Male,No,Sun,Dinner,4,21
$16.4,$2.5,Female,Yes,Thur,Lunch,2,18
$26.41,$1.5,Female,No,Sat,Dinner,2,67
$20.29,$2.75,Female,No,Sat,Dinner,2,36
$10.07,$1.25,Male,No,Sat,Dinner,2,44
$24.71,$5.85,Male,No,Thur,Lunch,2,37
$28.55,$2.05,Male,No,Sun,Dinner,3,60
$7.74,$1.44,Male,Yes,Sat,Dinner,2,18
$11.24,$1.76,Male,Yes,Sat,Dinner,2,28
$10.63,$2.0,Female,Yes,Sat,Dinner,2,18
$30.14,$3.09,Female,Yes,Sat,Dinner,4,64
$30.46,$2.0,Male,Yes,Sun,Dinner,5,23
